concept_id,code,codetype,descrip
779737,2601778,PR00,tirzepatide 15 MG/ML
779738,2601780,PR00,tirzepatide 15 MG/ML Auto-Injector
779739,2601781,PR00,tirzepatide 15 MG/ML [Mounjaro]
779740,2601783,PR00,tirzepatide 15 MG/ML Auto-Injector [Mounjaro]
780248,2599362,PR00,3 ML semaglutide 2.68 MG/ML Pen Injector
780249,2599365,PR00,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic]
780255,2601743,PR00,0.5 ML tirzepatide 10 MG/ML Auto-Injector
780256,2601746,PR00,0.5 ML tirzepatide 10 MG/ML Auto-Injector [Mounjaro]
780257,2601755,PR00,0.5 ML tirzepatide 30 MG/ML Auto-Injector
780258,2601758,PR00,0.5 ML tirzepatide 30 MG/ML Auto-Injector [Mounjaro]
780259,2601761,PR00,0.5 ML tirzepatide 5 MG/ML Auto-Injector
780260,2601764,PR00,0.5 ML tirzepatide 5 MG/ML Auto-Injector [Mounjaro]
780261,2601767,PR00,0.5 ML tirzepatide 20 MG/ML Auto-Injector
780262,2601770,PR00,0.5 ML tirzepatide 20 MG/ML Auto-Injector [Mounjaro]
780263,2601773,PR00,0.5 ML tirzepatide 25 MG/ML Auto-Injector
780264,2601776,PR00,0.5 ML tirzepatide 25 MG/ML Auto-Injector [Mounjaro]
780265,2601784,PR00,0.5 ML tirzepatide 15 MG/ML Auto-Injector
780266,2601785,PR00,0.5 ML tirzepatide 15 MG/ML Auto-Injector [Mounjaro]
793109,1990864,PR00,exenatide 2.35 MG/ML
793110,1990865,PR00,exenatide Auto-Injector
793111,1990866,PR00,0.85 ML exenatide 2.35 MG/ML Auto-Injector
793112,1990867,PR00,exenatide 2.35 MG/ML [Bydureon]
793113,1990868,PR00,exenatide Auto-Injector [Bydureon]
793114,1990869,PR00,0.85 ML exenatide 2.35 MG/ML Auto-Injector [Bydureon]
793115,1990870,PR00,exenatide 2.35 MG/ML Auto-Injector
793116,1990871,PR00,exenatide 2.35 MG/ML Auto-Injector [Bydureon]
793143,1991302,PR00,semaglutide
793144,1991303,PR00,semaglutide 1.34 MG/ML
793145,1991304,PR00,semaglutide Injectable Product
793146,1991305,PR00,semaglutide Pen Injector
793147,1991306,PR00,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector"
793149,1991308,PR00,semaglutide 1.34 MG/ML [Ozempic]
793150,1991309,PR00,semaglutide Pen Injector [Ozempic]
793151,1991310,PR00,Ozempic Injectable Product
793152,1991311,PR00,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]"
793153,1991316,PR00,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector
793154,1991317,PR00,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]
793405,1994307,PR00,insulin degludec 70 UNT/ML
793406,1994308,PR00,"insulin aspart, human / insulin degludec Injectable Product"
793407,1994309,PR00,"insulin aspart, human / insulin degludec Pen Injector"
793408,1994311,PR00,"3 ML insulin aspart, human 30 UNT/ML / insulin degludec 70 UNT/ML Pen Injector"
793410,1994313,PR00,"insulin aspart, human 30 UNT/ML / insulin degludec 70 UNT/ML [Ryzodeg]"
793411,1994314,PR00,"insulin aspart, human / insulin degludec Pen Injector [Ryzodeg]"
793412,1994315,PR00,Ryzodeg Injectable Product
793413,1994316,PR00,"3 ML insulin aspart, human 30 UNT/ML / insulin degludec 70 UNT/ML Pen Injector [Ryzodeg]"
793498,1994317,PR00,"insulin aspart, human 30 UNT/ML / insulin degludec 70 UNT/ML Pen Injector"
793499,1994318,PR00,"insulin aspart, human 30 UNT/ML / insulin degludec 70 UNT/ML Pen Injector [Ryzodeg]"
1146282,2377131,PR00,insulin glargine 100 UNT/ML [Semglee]
1146283,2377132,PR00,insulin glargine Injectable Solution [Semglee]
1146284,2377133,PR00,Semglee Injectable Product
1146285,2377134,PR00,insulin glargine 100 UNT/ML Injectable Solution [Semglee]
1146286,2377230,PR00,insulin glargine Pen Injector [Semglee]
1146287,2377232,PR00,insulin glargine 100 UNT/ML Pen Injector [Semglee]
1146756,2377231,PR00,3 ML insulin glargine 100 UNT/ML Pen Injector [Semglee]
1356056,2107519,PR00,insulin degludec Injectable Solution
1356057,2107520,PR00,insulin degludec 100 UNT/ML Injectable Solution
1356058,2107521,PR00,insulin degludec Injectable Solution [Tresiba]
1356059,2107522,PR00,insulin degludec 100 UNT/ML Injectable Solution [Tresiba]
1502905,274783,PR00,insulin glargine
1502908,343226,PR00,insulin glargine 100 UNT/ML
1502910,847232,PR00,3 ML insulin glargine 100 UNT/ML Pen Injector [Lantus]
1537020,2553400,PR00,semaglutide 0.5 MG/ML
1537021,2553500,PR00,semaglutide Auto-Injector
1537023,2553503,PR00,semaglutide 0.5 MG/ML [Wegovy]
1537024,2553504,PR00,semaglutide Auto-Injector [Wegovy]
1537025,2553505,PR00,Wegovy Injectable Product
1537026,2553507,PR00,semaglutide 0.5 MG/ML Auto-Injector
1537027,2553508,PR00,semaglutide 0.5 MG/ML Auto-Injector [Wegovy]
1537028,2553600,PR00,semaglutide 1 MG/ML
1537029,2553602,PR00,semaglutide 1 MG/ML [Wegovy]
1537030,2553604,PR00,semaglutide 1 MG/ML Auto-Injector
1537031,2553605,PR00,semaglutide 1 MG/ML Auto-Injector [Wegovy]
1537032,2553606,PR00,semaglutide 2 MG/ML
1537033,2553607,PR00,semaglutide 2 MG/ML Auto-Injector
1537034,2553608,PR00,semaglutide 2 MG/ML [Wegovy]
1537035,2553700,PR00,semaglutide 2 MG/ML Auto-Injector [Wegovy]
1537036,2553900,PR00,semaglutide 2.27 MG/ML
1537037,2553902,PR00,semaglutide 2.27 MG/ML [Wegovy]
1537038,2553904,PR00,semaglutide 2.27 MG/ML Auto-Injector
1537039,2553905,PR00,semaglutide 2.27 MG/ML Auto-Injector [Wegovy]
1537040,2554101,PR00,semaglutide 3.2 MG/ML
1537041,2554103,PR00,semaglutide 3.2 MG/ML [Wegovy]
1537042,2554105,PR00,semaglutide 3.2 MG/ML Auto-Injector
1537043,2554106,PR00,semaglutide 3.2 MG/ML Auto-Injector [Wegovy]
1537596,2553501,PR00,0.5 ML semaglutide 0.5 MG/ML Auto-Injector
1537597,2553506,PR00,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy]
1537598,2553601,PR00,0.5 ML semaglutide 1 MG/ML Auto-Injector
1537599,2553603,PR00,0.5 ML semaglutide 1 MG/ML Auto-Injector [Wegovy]
1537600,2553802,PR00,0.5 ML semaglutide 2 MG/ML Auto-Injector
1537601,2553803,PR00,0.5 ML semaglutide 2 MG/ML Auto-Injector [Wegovy]
1537602,2553901,PR00,0.75 ML semaglutide 2.27 MG/ML Auto-Injector
1537603,2553903,PR00,0.75 ML semaglutide 2.27 MG/ML Auto-Injector [Wegovy]
1537604,2554102,PR00,0.75 ML semaglutide 3.2 MG/ML Auto-Injector
1537605,2554104,PR00,0.75 ML semaglutide 3.2 MG/ML Auto-Injector [Wegovy]
1583722,60548,PR00,exenatide
1583727,847913,PR00,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta]
1583728,847914,PR00,exenatide 0.005 MG/ACTUAT
1583729,847915,PR00,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector
1583730,847917,PR00,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta]
1718596,1858991,PR00,lixisenatide 0.033 MG/ML
1718597,1858992,PR00,insulin glargine / lixisenatide Injectable Product
1718598,1858993,PR00,insulin glargine / lixisenatide Pen Injector
1718599,1858995,PR00,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector
1718601,1858997,PR00,insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML [Soliqua]
1718602,1858998,PR00,insulin glargine / lixisenatide Pen Injector [Soliqua]
1718603,1858999,PR00,Soliqua Injectable Product
1718604,1859000,PR00,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua]
1718605,1859001,PR00,insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector
1718606,1859002,PR00,insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua]
1718703,1860164,PR00,liraglutide 3.6 MG/ML
1718704,1860165,PR00,insulin degludec / liraglutide Injectable Product
1718705,1860166,PR00,insulin degludec / liraglutide Pen Injector
1718706,1860167,PR00,3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector
1718708,1860169,PR00,insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML [Xultophy]
1718709,1860170,PR00,insulin degludec / liraglutide Pen Injector [Xultophy]
1718710,1860171,PR00,Xultophy Injectable Product
1718711,1860172,PR00,3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector [Xultophy]
1718712,1860173,PR00,insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector
1718713,1860174,PR00,insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector [Xultophy]
1758672,2589007,PR00,insulin glargine-aglr 100 UNT/ML
1758673,2589009,PR00,insulin glargine-aglr 100 UNT/ML Pen Injector
1758675,2589011,PR00,insulin glargine-aglr 100 UNT/ML [Rezvoglar]
1758676,2589012,PR00,Rezvoglar Injectable Product
1758677,2589013,PR00,insulin glargine Pen Injector [Rezvoglar]
1758678,2589015,PR00,insulin glargine-aglr 100 UNT/ML Pen Injector [Rezvoglar]
1759242,2589008,PR00,3 ML insulin glargine-aglr 100 UNT/ML Pen Injector
1759243,2589014,PR00,3 ML insulin glargine-aglr 100 UNT/ML Pen Injector [Rezvoglar]
3275155,2589008,PR00,3 ML insulin glargine-aglr 100 UNT/ML Pen Injector
19071700,285018,PR00,insulin glargine 100 UNT/ML Injectable Solution [Lantus]
19078559,311041,PR00,insulin glargine 100 UNT/ML Injectable Solution
19083253,847911,PR00,exenatide 0.01 MG/ACTUAT [Byetta]
19083254,847916,PR00,exenatide 0.005 MG/ACTUAT [Byetta]
19120790,575068,PR00,insulin glargine 100 UNT/ML [Lantus]
19135276,847230,PR00,3 ML insulin glargine 100 UNT/ML Pen Injector
19135404,847908,PR00,exenatide 0.01 MG/ACTUAT
19135405,847910,PR00,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector
35602717,1670007,PR00,insulin degludec
35602718,1670008,PR00,insulin degludec 100 UNT/ML
35602719,1670010,PR00,insulin degludec Pen Injector
35602720,1670011,PR00,3 ML insulin degludec 100 UNT/ML Pen Injector
35602722,1670013,PR00,insulin degludec 100 UNT/ML [Tresiba]
35602723,1670014,PR00,insulin degludec Pen Injector [Tresiba]
35602724,1670016,PR00,3 ML insulin degludec 100 UNT/ML Pen Injector [Tresiba]
35602725,1670017,PR00,insulin degludec 100 UNT/ML Pen Injector
35602726,1670018,PR00,insulin degludec 100 UNT/ML Pen Injector [Tresiba]
35602728,1670020,PR00,insulin degludec 200 UNT/ML
35602729,1670021,PR00,3 ML insulin degludec 200 UNT/ML Pen Injector
35602730,1670022,PR00,insulin degludec 200 UNT/ML [Tresiba]
35602731,1670023,PR00,3 ML insulin degludec 200 UNT/ML Pen Injector [Tresiba]
35602732,1670024,PR00,insulin degludec 200 UNT/ML Pen Injector
35602733,1670025,PR00,insulin degludec 200 UNT/ML Pen Injector [Tresiba]
35604092,1736860,PR00,insulin glargine 100 UNT/ML [Basaglar]
35604093,1736861,PR00,insulin glargine Pen Injector [Basaglar]
35604094,1736863,PR00,3 ML insulin glargine 100 UNT/ML Pen Injector [Basaglar]
35604095,1736864,PR00,insulin glargine 100 UNT/ML Pen Injector [Basaglar]
36214699,1157459,PR00,insulin glargine Injectable Product
36220119,1163230,PR00,liraglutide Injectable Product
36222278,1163790,PR00,exenatide Injectable Product
36229086,1175624,PR00,Lantus Injectable Product
36234709,1169415,PR00,Byetta Injectable Product
36238252,1242967,PR00,Bydureon Injectable Product
36241903,1186578,PR00,Victoza Injectable Product
36247185,1551293,PR00,dulaglutide Injectable Product
36247186,1551299,PR00,Trulicity Injectable Product
36247618,1440053,PR00,lixisenatide Injectable Product
36248195,1670009,PR00,insulin degludec Injectable Product
36248196,1670015,PR00,Tresiba Injectable Product
36248425,1736862,PR00,Basaglar Injectable Product
36248870,1604543,PR00,Toujeo Injectable Product
36248956,1598267,PR00,Saxenda Injectable Product
36644160,274783,PR00,insulin glargine
36797422,2554103,PR00,semaglutide 3.2 MG/ML [Wegovy]
36799494,2200640,PR00,semaglutide 14 MG
