concept_id,concept_code,concept_name,vocabulary_id
45605293,C81.24,"Mixed cellularity Hodgkin lymphoma, lymph nodes of axilla and upper limb",10
45537848,C81.25,"Mixed cellularity Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",10
45552292,C81.26,"Mixed cellularity Hodgkin lymphoma, intrapelvic lymph nodes",10
45605294,C81.27,"Mixed cellularity Hodgkin lymphoma, spleen",10
45566623,C81.28,"Mixed cellularity Hodgkin lymphoma, lymph nodes of multiple sites",10
45576346,C81.29,"Mixed cellularity Hodgkin lymphoma, extranodal and solid organ sites",10
1567637,C81.3,Lymphocyte depleted Hodgkin lymphoma,10
45576347,C81.30,"Lymphocyte depleted Hodgkin lymphoma, unspecified site",10
45566624,C81.31,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of head, face, and neck",10
45537849,C81.32,"Lymphocyte depleted Hodgkin lymphoma, intrathoracic lymph nodes",10
45590930,C81.33,"Lymphocyte depleted Hodgkin lymphoma, intra-abdominal lymph nodes",10
45547531,C81.34,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of axilla and upper limb",10
45595695,C81.35,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",10
45605295,C81.36,"Lymphocyte depleted Hodgkin lymphoma, intrapelvic lymph nodes",10
45605296,C81.37,"Lymphocyte depleted Hodgkin lymphoma, spleen",10
45581231,C81.38,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of multiple sites",10
45542636,C81.39,"Lymphocyte depleted Hodgkin lymphoma, extranodal and solid organ sites",10
1567638,C81.4,Lymphocyte-rich Hodgkin lymphoma,10
45557020,C81.40,"Lymphocyte-rich Hodgkin lymphoma, unspecified site",10
45557021,C81.41,"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of head, face, and neck",10
45566625,C81.42,"Lymphocyte-rich Hodgkin lymphoma, intrathoracic lymph nodes",10
45566626,C81.43,"Lymphocyte-rich Hodgkin lymphoma, intra-abdominal lymph nodes",10
45532943,C81.44,"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of axilla and upper limb",10
45561840,C81.45,"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",10
45595696,C81.46,"Lymphocyte-rich Hodgkin lymphoma, intrapelvic lymph nodes",10
45605297,C81.47,"Lymphocyte-rich Hodgkin lymphoma, spleen",10
45600537,C81.48,"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of multiple sites",10
45590931,C81.49,"Lymphocyte-rich Hodgkin lymphoma, extranodal and solid organ sites",10
1567639,C81.7,Other Hodgkin lymphoma,10
45590932,C81.70,"Other Hodgkin lymphoma, unspecified site",10
45561841,C81.71,"Other Hodgkin lymphoma, lymph nodes of head, face, and neck",10
45552294,C81.72,"Other Hodgkin lymphoma, intrathoracic lymph nodes",10
45600538,C81.73,"Other Hodgkin lymphoma, intra-abdominal lymph nodes",10
45566627,C81.74,"Other Hodgkin lymphoma, lymph nodes of axilla and upper limb",10
45552295,C81.75,"Other Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",10
45595697,C81.76,"Other Hodgkin lymphoma, intrapelvic lymph nodes",10
45547533,C81.77,"Other Hodgkin lymphoma, spleen",10
45605298,C81.78,"Other Hodgkin lymphoma, lymph nodes of multiple sites",10
45600539,C81.79,"Other Hodgkin lymphoma, extranodal and solid organ sites",10
1567640,C81.9,"Hodgkin lymphoma, unspecified",10
45600540,C81.90,"Hodgkin lymphoma, unspecified, unspecified site",10
45561842,C81.91,"Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck",10
45571546,C81.92,"Hodgkin lymphoma, unspecified, intrathoracic lymph nodes",10
45571547,C81.93,"Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes",10
45566628,C81.94,"Hodgkin lymphoma, unspecified, lymph nodes of axilla and upper limb",10
45552296,C81.95,"Hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb",10
45557022,C81.96,"Hodgkin lymphoma, unspecified, intrapelvic lymph nodes",10
45571548,C81.97,"Hodgkin lymphoma, unspecified, spleen",10
45581233,C81.98,"Hodgkin lymphoma, unspecified, lymph nodes of multiple sites",10
45576348,C81.99,"Hodgkin lymphoma, unspecified, extranodal and solid organ sites",10
44827575,201.0,Hodgkin's paragranuloma,09
44822896,201.00,"Hodgkin's paragranuloma, unspecified site, extranodal and solid organ sites",09
44820629,201.01,"Hodgkin's paragranuloma, lymph nodes of head, face, and neck",09
44829830,201.02,"Hodgkin's paragranuloma, intrathoracic lymph nodes",09
44820630,201.03,"Hodgkin's paragranuloma, intra-abdominal lymph nodes",09
44819449,201.04,"Hodgkin's paragranuloma, lymph nodes of axilla and upper limb",09
44833318,201.05,"Hodgkin's paragranuloma, lymph nodes of inguinal region and lower limb",09
44825220,201.06,"Hodgkin's paragranuloma, intrapelvic lymph nodes",09
44819450,201.07,"Hodgkin's paragranuloma, spleen",09
44822897,201.08,"Hodgkin's paragranuloma, lymph nodes of multiple sites",09
44825221,201.1,Hodgkin's granuloma,09
44835696,201.10,"Hodgkin's granuloma, unspecified site, extranodal and solid organ sites",09
44835697,201.11,"Hodgkin's granuloma, lymph nodes of head, face, and neck",09
44824042,201.12,"Hodgkin's granuloma, intrathoracic lymph nodes",09
44824043,201.13,"Hodgkin's granuloma, intra-abdominal lymph nodes",09
44820631,201.14,"Hodgkin's granuloma, lymph nodes of axilla and upper limb",09
44832141,201.15,"Hodgkin's granuloma, lymph nodes of inguinal region and lower limb",09
44825222,201.16,"Hodgkin's granuloma, intrapelvic lymph nodes",09
44833319,201.17,"Hodgkin's granuloma, spleen",09
44822898,201.18,"Hodgkin's granuloma, lymph nodes of multiple sites",09
