"concept_id","concept_name","concept_code","vocabulary_id"
2793116,"Magnetic Resonance Imaging (MRI) of Fetal Head using Other Contrast, Unenhanced and Enhanced","BY30Y0Z","ICD10PCS"
2793117,"Magnetic Resonance Imaging (MRI) of Fetal Head using Other Contrast","BY30YZZ","ICD10PCS"
2793118,"Magnetic Resonance Imaging (MRI) of Fetal Head","BY30ZZZ","ICD10PCS"
2799719,"Imaging @ Anatomical Regions @ Magnetic Resonance Imaging (MRI) @ Head","BW38","ICD10PCS"
2799723,"Imaging @ Fetus and Obstetrical @ Magnetic Resonance Imaging (MRI) @ Fetal Head @ Other Contrast @ Unenhanced and Enhanced","BY30Y0","ICD10PCS"
2799724,"Imaging @ Fetus and Obstetrical @ Magnetic Resonance Imaging (MRI) @ Fetal Head @ Other Contrast @ None","BY30YZ","ICD10PCS"
2813850,"Imaging @ Central Nervous System @ Magnetic Resonance Imaging (MRI) @ Brain @ None","B030Z","ICD10PCS"
2818901,"Imaging @ Veins @ Magnetic Resonance Imaging (MRI) @ Cerebral and Cerebellar Veins","B531","ICD10PCS"
2818902,"Imaging @ Veins @ Magnetic Resonance Imaging (MRI) @ Cerebral and Cerebellar Veins @ Other Contrast @ Unenhanced and Enhanced","B531Y0","ICD10PCS"
2825087,"Imaging @ Fetus and Obstetrical @ Magnetic Resonance Imaging (MRI) @ Fetal Head @ None","BY30Z","ICD10PCS"
2826327,"Imaging @ Central Nervous System @ Magnetic Resonance Imaging (MRI) @ Brain @ Other Contrast","B030Y","ICD10PCS"
2826803,"Imaging @ Veins @ Magnetic Resonance Imaging (MRI) @ Intracranial Sinuses @ Other Contrast @ None","B532YZ","ICD10PCS"
2827636,"Imaging @ Anatomical Regions @ Magnetic Resonance Imaging (MRI) @ Head @ Other Contrast @ Unenhanced and Enhanced","BW38Y0","ICD10PCS"
2832026,"Imaging @ Veins @ Magnetic Resonance Imaging (MRI) @ Cerebral and Cerebellar Veins @ Other Contrast","B531Y","ICD10PCS"
2832027,"Imaging @ Veins @ Magnetic Resonance Imaging (MRI) @ Cerebral and Cerebellar Veins @ None @ None","B531ZZ","ICD10PCS"
2832028,"Imaging @ Veins @ Magnetic Resonance Imaging (MRI) @ Intracranial Sinuses @ None @ None","B532ZZ","ICD10PCS"
2832898,"Imaging @ Anatomical Regions @ Magnetic Resonance Imaging (MRI) @ Head @ Other Contrast","BW38Y","ICD10PCS"
2839370,"Imaging @ Veins @ Magnetic Resonance Imaging (MRI) @ Intracranial Sinuses","B532","ICD10PCS"
2839371,"Imaging @ Veins @ Magnetic Resonance Imaging (MRI) @ Intracranial Sinuses @ Other Contrast","B532Y","ICD10PCS"
