code,codetype,descrip,ingredient
1860165,PR00,insulin degludec / liraglutide Injectable Product,liraglutide/insulin degludec
1860165,PR00,insulin degludec / liraglutide Injectable Product,liraglutide/insulin degludec
1860166,PR00,insulin degludec / liraglutide Pen Injector,liraglutide/insulin degludec
1860166,PR00,insulin degludec / liraglutide Pen Injector,liraglutide/insulin degludec
1860167,PR00,3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector,liraglutide/insulin degludec
1860167,PR00,3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector,liraglutide/insulin degludec
1860169,PR00,insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML [Xultophy],liraglutide/insulin degludec
1860169,PR00,insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML [Xultophy],liraglutide/insulin degludec
1860170,PR00,insulin degludec / liraglutide Pen Injector [Xultophy],liraglutide/insulin degludec
1860170,PR00,insulin degludec / liraglutide Pen Injector [Xultophy],liraglutide/insulin degludec
1860171,PR00,Xultophy Injectable Product,liraglutide/insulin degludec
1860171,PR00,Xultophy Injectable Product,liraglutide/insulin degludec
1860172,PR00,3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector [Xultophy],liraglutide/insulin degludec
1860172,PR00,3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector [Xultophy],liraglutide/insulin degludec
1860173,PR00,insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector,liraglutide/insulin degludec
1860173,PR00,insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector,liraglutide/insulin degludec
1860174,PR00,insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector [Xultophy],liraglutide/insulin degludec
1860174,PR00,insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector [Xultophy],liraglutide/insulin degludec
1670007,PR00,insulin degludec,liraglutide/insulin degludec
1670008,PR00,insulin degludec 100 UNT/ML,liraglutide/insulin degludec
1670010,PR00,insulin degludec Pen Injector,liraglutide/insulin degludec
1670011,PR00,3 ML insulin degludec 100 UNT/ML Pen Injector,liraglutide/insulin degludec
1670013,PR00,insulin degludec 100 UNT/ML [Tresiba],liraglutide/insulin degludec
1670014,PR00,insulin degludec Pen Injector [Tresiba],liraglutide/insulin degludec
1670016,PR00,3 ML insulin degludec 100 UNT/ML Pen Injector [Tresiba],liraglutide/insulin degludec
1670017,PR00,insulin degludec 100 UNT/ML Pen Injector,liraglutide/insulin degludec
1670018,PR00,insulin degludec 100 UNT/ML Pen Injector [Tresiba],liraglutide/insulin degludec
1670020,PR00,insulin degludec 200 UNT/ML,liraglutide/insulin degludec
1670021,PR00,3 ML insulin degludec 200 UNT/ML Pen Injector,liraglutide/insulin degludec
1670022,PR00,insulin degludec 200 UNT/ML [Tresiba],liraglutide/insulin degludec
1670023,PR00,3 ML insulin degludec 200 UNT/ML Pen Injector [Tresiba],liraglutide/insulin degludec
1670024,PR00,insulin degludec 200 UNT/ML Pen Injector,liraglutide/insulin degludec
1670025,PR00,insulin degludec 200 UNT/ML Pen Injector [Tresiba],liraglutide/insulin degludec
1163230,PR00,liraglutide Injectable Product,liraglutide/insulin degludec
1186578,PR00,Victoza Injectable Product,liraglutide/insulin degludec
1670009,PR00,insulin degludec Injectable Product,liraglutide/insulin degludec
1670015,PR00,Tresiba Injectable Product,liraglutide/insulin degludec
1860164,PR00,liraglutide 3.6 MG/ML,liraglutide
1860171,PR00,Xultophy Injectable Product,liraglutide
1163230,PR00,liraglutide Injectable Product,liraglutide
1186578,PR00,Victoza Injectable Product,liraglutide
1598267,PR00,Saxenda Injectable Product,liraglutide
897122,PR00,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide
897126,PR00,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],liraglutide
475968,PR00,liraglutide,liraglutide
897120,PR00,liraglutide 6 MG/ML,liraglutide
897124,PR00,liraglutide 6 MG/ML [Victoza],liraglutide
1360105,PR00,liraglutide 6 MG/ML Pen Injector,liraglutide
1360495,PR00,liraglutide 6 MG/ML Pen Injector [Victoza],liraglutide
1598265,PR00,liraglutide 6 MG/ML [Saxenda],liraglutide
1598268,PR00,3 ML liraglutide 6 MG/ML Pen Injector [Saxenda],liraglutide
1598269,PR00,liraglutide 6 MG/ML Pen Injector [Saxenda],liraglutide
1653594,PR00,liraglutide Pen Injector,liraglutide
1653597,PR00,liraglutide Pen Injector [Victoza],liraglutide
1653600,PR00,liraglutide Pen Injector [Saxenda],liraglutide
2563970,PR00,insulin glargine-yfgn 100 UNT/ML,lixisenatide/insulin glargine
2563972,PR00,insulin glargine-yfgn 100 UNT/ML [Semglee],lixisenatide/insulin glargine
2563974,PR00,insulin glargine-yfgn 100 UNT/ML Pen Injector,lixisenatide/insulin glargine
2563975,PR00,insulin glargine-yfgn 100 UNT/ML Pen Injector [Semglee],lixisenatide/insulin glargine
2563976,PR00,insulin glargine-yfgn 100 UNT/ML Injectable Solution,lixisenatide/insulin glargine
2563977,PR00,insulin glargine-yfgn 100 UNT/ML Injectable Solution [Semglee],lixisenatide/insulin glargine
2563971,PR00,3 ML insulin glargine-yfgn 100 UNT/ML Pen Injector,lixisenatide/insulin glargine
2563973,PR00,3 ML insulin glargine-yfgn 100 UNT/ML Pen Injector [Semglee],lixisenatide/insulin glargine
2377131,PR00,insulin glargine 100 UNT/ML [Semglee],lixisenatide/insulin glargine
2377132,PR00,insulin glargine Injectable Solution [Semglee],lixisenatide/insulin glargine
2377133,PR00,Semglee Injectable Product,lixisenatide/insulin glargine
2377134,PR00,insulin glargine 100 UNT/ML Injectable Solution [Semglee],lixisenatide/insulin glargine
2377230,PR00,insulin glargine Pen Injector [Semglee],lixisenatide/insulin glargine
2377232,PR00,insulin glargine 100 UNT/ML Pen Injector [Semglee],lixisenatide/insulin glargine
2377231,PR00,3 ML insulin glargine 100 UNT/ML Pen Injector [Semglee],lixisenatide/insulin glargine
274783,PR00,insulin glargine,lixisenatide/insulin glargine
343226,PR00,insulin glargine 100 UNT/ML,lixisenatide/insulin glargine
847232,PR00,3 ML insulin glargine 100 UNT/ML Pen Injector [Lantus],lixisenatide/insulin glargine
1858991,PR00,lixisenatide 0.033 MG/ML,lixisenatide/insulin glargine
1858992,PR00,insulin glargine / lixisenatide Injectable Product,lixisenatide/insulin glargine
1858992,PR00,insulin glargine / lixisenatide Injectable Product,lixisenatide/insulin glargine
1858993,PR00,insulin glargine / lixisenatide Pen Injector,lixisenatide/insulin glargine
1858993,PR00,insulin glargine / lixisenatide Pen Injector,lixisenatide/insulin glargine
1858995,PR00,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector,lixisenatide/insulin glargine
1858995,PR00,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector,lixisenatide/insulin glargine
1858997,PR00,insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML [Soliqua],lixisenatide/insulin glargine
1858997,PR00,insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML [Soliqua],lixisenatide/insulin glargine
1858998,PR00,insulin glargine / lixisenatide Pen Injector [Soliqua],lixisenatide/insulin glargine
1858998,PR00,insulin glargine / lixisenatide Pen Injector [Soliqua],lixisenatide/insulin glargine
1858999,PR00,Soliqua Injectable Product,lixisenatide/insulin glargine
1858999,PR00,Soliqua Injectable Product,lixisenatide/insulin glargine
1859000,PR00,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua],lixisenatide/insulin glargine
1859000,PR00,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua],lixisenatide/insulin glargine
1859001,PR00,insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector,lixisenatide/insulin glargine
